model_name,vocab_size,log2_vocab,BPB,bits_per_token,avg_bytes_per_token,perplexity,model_type,status,error_msg,bits_per_event,epsilon,R_M,rd_residual
google/flan-t5-small,32100,14.97,0.061555,0.2349,3.8169,1.1769,translation,success,,0.2349492795,0.150310136800068,12.109490866181362,-12.047935866181362
Helsinki-NLP/opus-mt-tc-big-en-ko,32001,14.966,2.337953,10.1009,4.3204,1098.1842,translation,success,,10.100892141200001,0.999,0.0036031100628033386,2.334349889937197
albert/albert-base-v2,30000,14.873,0.779896,3.2703,4.1933,9.6486,LLM,success,,3.2703378968,0.8963580208527662,1.0610413561063812,-0.28114535610638114
distilbert-base-uncased,30522,14.898,0.508737,2.4061,4.7295,5.3003,LLM,success,,2.4060716415,0.8113314340697696,2.1120621066538767,-1.6033251066538767
bert-base-uncased,30522,14.898,0.361851,1.7114,4.7295,3.2748,LLM,success,,1.7113743044999998,0.6946378404788078,3.6614373720641744,-3.2995863720641743
TinyLlama/TinyLlama-1.1B-Chat-v1.0,32000,14.966,0.766917,2.9393,3.8326,7.6703,LLM,success,,2.9392860942,0.8696270028551687,1.3927131144005251,-0.6257961144005252
openlm-research/open_llama_3b,32000,14.966,0.69708,2.8405,4.0749,7.1629,LLM,success,,2.8405312920000005,0.8603917407753843,1.506173924877615,-0.8090939248776149
Helsinki-NLP/opus-mt-en-tvl,38380,15.228,3.237049,12.2982,3.7992,5036.5927,translation,success,,12.2981965608,0.999,0.0038578620144420483,3.233191137985558
Helsinki-NLP/opus-mt-en-ho,42463,15.374,3.080139,11.8455,3.8458,3679.9387,translation,success,,11.8455985662,0.999,0.004000102711488651,3.0761388972885113
Helsinki-NLP/opus-mt-en-iso,45029,15.459,3.501657,13.4374,3.8375,11093.644,translation,success,,13.4376087375,0.999,0.0040828166393378496,3.497574183360662
HuggingFaceTB/SmolLM-135M,49152,15.585,0.936829,3.9912,4.2603,15.9024,LLM,success,,3.9911725887,0.9371164101016198,0.6412789943452317,0.2955500056547683
microsoft/phi-1,50257,15.617,1.631613,7.4068,4.5395,169.6892,LLM,success,,7.406707213500001,0.9941068730361154,0.039935911209704855,1.5916770887902951
microsoft/phi-1_5,50257,15.617,1.005064,4.5625,4.5395,23.6295,LLM,success,,4.562488028,0.9576800186207918,0.4081102738967868,0.5969537261032132
microsoft/phi-2,50257,15.617,0.717583,3.2575,4.5395,9.5632,LLM,success,,3.2574680285,0.8954324912163293,1.149751095327618,-0.432168095327618
EleutherAI/pythia-14m,50254,15.617,1.497723,6.7389,4.4994,106.8087,LLM,success,,6.738854866199999,0.9906374667981166,0.06970577140613976,1.4280172285938602
EleutherAI/pythia-70m,50254,15.617,1.249282,5.621,4.4994,49.2157,LLM,success,,5.6210194308,0.9796812805669736,0.17411822658461595,1.075163773415384
EleutherAI/pythia-160m,50254,15.617,1.067149,4.8016,4.4994,27.8876,LLM,success,,4.801530210599999,0.9641417691016796,0.3370550666859664,0.7300939333140335
EleutherAI/pythia-410m,50254,15.617,0.895667,4.03,4.4994,16.336,LLM,success,,4.0299640998,0.9387855044074437,0.623763451869463,0.27190354813053697
EleutherAI/pythia-1b,50254,15.617,0.833594,3.7507,4.4994,13.4608,LLM,success,,3.7506728435999994,0.9257102103886842,0.7784744327191753,0.05511956728082468
EleutherAI/pythia-1.4b,50254,15.617,0.79303,3.5682,4.4994,11.8612,LLM,success,,3.5681591819999996,0.9156914983306916,0.899486581457424,-0.10645658145742398
facebook/opt-125m,50265,15.617,1.06724,4.8447,4.5395,28.7352,LLM,success,,4.84473598,0.9651994766001281,0.32559439457497596,0.741645605425024
facebook/opt-350m,50265,15.617,0.992504,4.5055,4.5395,22.7136,LLM,success,,4.5054719080000005,0.9559735136658214,0.4271425611756712,0.5653614388243289
facebook/opt-1.3b,50265,15.617,0.860726,3.9073,4.5395,15.004,LLM,success,,3.9072656770000003,0.9333511063716342,0.6876086641890033,0.17311733581099664
cerebras/Cerebras-GPT-111M,50257,15.617,1.207337,5.4807,4.5395,44.6547,LLM,success,,5.4807063115000005,0.9776059406960521,0.1950775797314659,1.0122594202685342
cerebras/Cerebras-GPT-256M,50257,15.617,1.083389,4.9181,4.5395,30.2335,LLM,success,,4.9180443655,0.9669241073643475,0.30698502315510723,0.7764039768448927
allenai/OLMo-1B-hf,50280,15.618,0.810071,3.6448,4.4994,12.5085,LLM,success,,3.6448334573999994,0.9200543630331375,0.8466055268312971,-0.0365345268312971
roberta-base,50265,15.617,0.378019,1.716,4.5395,3.2853,LLM,success,,1.7160172505,0.6956137947828205,3.867113811206517,-3.4890948112065168
Helsinki-NLP/opus-mt-tc-big-en-pt,54776,15.741,1.304052,5.3704,4.1182,41.3655,translation,success,,5.3703469464,0.9758252650155322,0.21628770187544966,1.0877642981245503
Helsinki-NLP/opus-mt-en-de,58101,15.826,0.562378,2.3956,4.2598,5.262,translation,success,,2.3956178044000005,0.8099581908019764,2.3061152037804007,-1.7437372037804006
Helsinki-NLP/opus-mt-en-fr,59514,15.861,0.676913,2.8917,4.272,7.4217,translation,success,,2.8917723360000003,0.8652599808669172,1.5668286707217511,-0.8899156707217512
Helsinki-NLP/opus-mt-en-ru,62518,15.932,1.285318,5.1719,4.0238,36.0482,translation,success,,5.171862568399999,0.9722593638517318,0.25905428641063466,1.0262637135893653
Helsinki-NLP/opus-mt-en-es,65001,15.988,0.799863,3.2978,4.123,9.8343,translation,success,,3.297835149,0.8983150808903532,1.151462128592934,-0.3515991285929341
Helsinki-NLP/opus-mt-en-it,80035,16.288,0.554754,2.2162,3.9949,4.6467,translation,success,,2.2161867546,0.7847935093722427,2.7540537768664812,-2.1992997768664813
google/pegasus-xsum,96103,16.552,0.249057,1.1112,4.4615,2.1602,LLM,success,,1.1111678055,0.5370799000092584,6.666368407457217,-6.417311407457217
mistralai/Mistral-7B-v0.1,32000,14.966,0.595049,2.3276,3.9116,5.0197,LLM,success,,2.3275936684,0.8007849074645895,2.2610907047812017,-1.6660417047812017
NousResearch/Llama-2-7b-hf,32000,14.966,0.613112,2.3498,3.8326,5.0976,LLM,success,,2.3498130512,0.8038292529817954,2.2216821620374425,-1.6085701620374424
baichuan-inc/Baichuan-7B,64000,15.966,3.464654,13.1533,3.7964,9110.5421,LLM,success,,13.153212445600001,0.999,0.004580546291041543,3.4600734537089584
01-ai/Yi-6B,63992,15.966,0.6482,2.482,3.8291,5.5869,LLM,success,,2.48202262,0.8210098623565841,2.179841303689967,-1.531641303689967
stabilityai/stablelm-2-zephyr-1_6b,100289,16.614,0.856554,3.7006,4.3204,13.0019,LLM,success,,3.7006559016000002,0.9230881640375638,0.886608171531206,-0.03005417153120593
Qwen/Qwen2.5-0.5B,151643,17.21,0.834265,3.6057,4.322,12.1736,LLM,success,,3.6056933300000003,0.9178550305579286,1.0040574986266595,-0.16979249862665946
Qwen/Qwen2.5-1.5B,151643,17.21,0.712451,3.0792,4.322,8.4515,LLM,success,,3.079213222,0.8816778086730166,1.5118523415704885,-0.7994013415704886
bigscience/bloom-560m,250680,17.935,0.998628,4.5327,4.5389,23.146,LLM,success,,4.5326726291999995,0.956795990667934,0.5180961148514349,0.48053188514856504
bigscience/bloom-1b1,250680,17.935,0.919887,4.1753,4.5389,18.0671,LLM,success,,4.1752751043,0.9446507740589248,0.684021300994047,0.235865699005953
