model_name,model_id,vocab_size,log2_vocab,BPB,bits_per_token,avg_bytes_per_token,perplexity,model_type,source_lang,target_lang,stars,quality_label,status,error_msg,eval_time_sec
Helsinki-NLP/opus-mt-ms-ms,ms-ms,3932,11.941,5.224326,9.7379,1.864,853.8887,translation,ms,ms,4.666666666666667,Gold Standard,success,,48.1
Helsinki-NLP/opus-mt-no-no,no-no,4000,11.966,7.067089,13.791,1.9514,14174.5724,translation,no,no,1.5,Basic,success,,55.9
Helsinki-NLP/opus-mt-es-gl,es-gl,5805,12.503,,,,,translation,es,gl,1.8333333333333333,Basic,error,"exit=-15: nts, so we will NOT tie them. You should update the config with `tie_word_embeddings=False` to silence this warning
Token indices sequence length is longer than the specified maximum sequence length for this model (649055 > 512). Running this sequence through the model will result in indexing errors",22.5
Helsinki-NLP/opus-mt-gl-es,gl-es,5805,12.503,7.146286,14.4835,2.0267,22907.1922,translation,gl,es,3.5,Good,success,,29.4
Helsinki-NLP/opus-mt-gl-pt,gl-pt,5835,12.511,7.598438,15.742,2.0717,54805.4049,translation,gl,pt,1.5,Basic,success,,32.0
Helsinki-NLP/opus-mt-pt-gl,pt-gl,5835,12.511,7.739726,15.914,2.0561,61744.2321,translation,pt,gl,1.1666666666666667,Basic,success,,21.8
Helsinki-NLP/opus-mt-no-sv,no-sv,6455,12.656,6.146473,13.1435,2.1384,9048.808,translation,no,sv,4.5,Gold Standard,success,,30.8
Helsinki-NLP/opus-mt-sv-no,sv-no,6457,12.657,5.989314,12.173,2.0325,4617.9174,translation,sv,no,4.166666666666667,High Quality,success,,38.3
Helsinki-NLP/opus-mt-az-tr,az-tr,6904,12.753,5.490287,9.1435,1.6654,565.5342,translation,az,tr,5.0,Gold Standard,success,,39.1
Helsinki-NLP/opus-mt-tr-az,tr-az,6904,12.753,5.847601,10.1092,1.7288,1104.4914,translation,tr,az,5.0,Gold Standard,success,,32.3
Helsinki-NLP/opus-mt-no-de,no-de,7018,12.777,6.193162,12.6958,2.05,6634.6577,translation,no,de,4.5,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-de-no,de-no,7020,12.777,7.240546,13.8108,1.9074,14369.8074,translation,de,no,4.5,Gold Standard,success,,32.8
Helsinki-NLP/opus-mt-no-nl,no-nl,7046,12.783,6.09137,12.9393,2.1242,7854.5431,translation,no,nl,5.0,Gold Standard,success,,27.8
Helsinki-NLP/opus-mt-nl-no,nl-no,7046,12.783,5.988471,12.8324,2.1429,7293.54,translation,nl,no,5.0,Gold Standard,success,,28.2
Helsinki-NLP/opus-mt-no-fr,no-fr,7149,12.804,5.212497,10.7065,2.054,1671.0064,translation,no,fr,5.0,Gold Standard,success,,28.9
Helsinki-NLP/opus-mt-fr-no,fr-no,7151,12.804,6.023857,12.5419,2.082,5963.2357,translation,fr,no,4.5,Gold Standard,success,,45.0
Helsinki-NLP/opus-mt-no-pl,no-pl,7166,12.807,5.699671,12.3058,2.159,5063.2239,translation,no,pl,5.0,Gold Standard,success,,28.2
Helsinki-NLP/opus-mt-pl-no,pl-no,7166,12.807,7.006056,13.0316,1.86,8373.3796,translation,pl,no,5.0,Gold Standard,success,,34.5
Helsinki-NLP/opus-mt-fi_nb_no_nn_ru_sv_en-SAMI,fi_nb_no_nn_ru_sv_en-SAMI,7176,12.809,5.044272,10.3354,2.0489,1292.0232,translation,fi_nb_no_nn_ru_sv_en,SAMI,0.5,Experimental,success,,32.0
Helsinki-NLP/opus-mt-pt-eo,pt-eo,7246,12.823,6.45637,13.0673,2.0239,8583.0282,translation,pt,eo,5.0,Gold Standard,success,,31.9
Helsinki-NLP/opus-mt-eo-pt,eo-pt,7246,12.823,6.784501,13.2647,1.9552,9841.9459,translation,eo,pt,5.0,Gold Standard,success,,32.7
Helsinki-NLP/opus-mt-no-fi,no-fi,7255,12.825,5.649485,11.6133,2.0556,3132.9131,translation,no,fi,5.0,Gold Standard,success,,28.0
Helsinki-NLP/opus-mt-fi-no,fi-no,7256,12.825,6.813788,13.0714,1.9184,8607.6812,translation,fi,no,4.666666666666667,Gold Standard,success,,33.7
Helsinki-NLP/opus-mt-eo-it,eo-it,7276,12.829,6.635683,12.8031,1.9294,7146.6816,translation,eo,it,5.0,Gold Standard,success,,33.0
Helsinki-NLP/opus-mt-it-eo,it-eo,7276,12.829,5.784534,11.3447,1.9612,2600.7513,translation,it,eo,5.0,Gold Standard,success,,30.7
Helsinki-NLP/opus-mt-war-en,war-en,7278,12.829,6.031362,11.202,1.8573,2355.8352,translation,war,en,5.0,Gold Standard,success,,31.0
Helsinki-NLP/opus-mt-eo-sv,eo-sv,7284,12.831,6.257734,12.1746,1.9455,4622.9879,translation,eo,sv,5.0,Gold Standard,success,,30.2
Helsinki-NLP/opus-mt-sv-eo,sv-eo,7284,12.831,5.982519,11.8158,1.9751,3605.0312,translation,sv,eo,5.0,Gold Standard,success,,30.3
Helsinki-NLP/opus-mt-eo-da,eo-da,7286,12.831,6.483445,12.5049,1.9287,5812.1775,translation,eo,da,5.0,Gold Standard,success,,33.8
Helsinki-NLP/opus-mt-da-eo,da-eo,7286,12.831,5.754763,11.5134,2.0007,2923.3428,translation,da,eo,5.0,Gold Standard,success,,40.4
Helsinki-NLP/opus-mt-pl-eo,pl-eo,7325,12.839,6.419562,11.862,1.8478,3722.3036,translation,pl,eo,5.0,Gold Standard,success,,32.2
